,filename,identity,Line,Epoch,Day,Seconds,Date,Time,OffWrist_Actiware,Activity,White_Light,Red_Light,Green_Light,Blue_Light,Sleep_Wake,Mobility,datetime,sleepdata_DAY,sleepdata_REST,sleepdata_SLEEP,sleepdata_DAILY,sleepdata_EXCLUDED
3762379,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,1,936,1,0,08/01/2014,7:48:00,1,124.0,283.38,15.9,27.4,7.63,,1.0,01AUG14:07:48:00,1,0,0,0,1
3762380,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,2,937,1,30,08/01/2014,7:48:30,1,313.0,165.26,10.8,15.6,4.44,,1.0,01AUG14:07:48:30,1,0,0,0,1
3762381,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,3,938,1,60,08/01/2014,7:49:00,1,216.0,175.93,16.6,15.3,5.06,,1.0,01AUG14:07:49:00,1,0,0,0,1
3762382,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,4,939,1,90,08/01/2014,7:49:30,1,177.0,20.76,2.04,1.79,0.56,,1.0,01AUG14:07:49:30,1,0,0,0,1
3762383,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,5,940,1,120,08/01/2014,7:50:00,1,216.0,44.5,3.81,3.98,1.09,1.0,1.0,01AUG14:07:50:00,1,0,0,0,1
3762384,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,6,941,1,150,08/01/2014,7:50:30,1,356.0,56.62,5.76,4.95,0.52,1.0,1.0,01AUG14:07:50:30,1,0,0,0,1
3762385,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,7,942,1,180,08/01/2014,7:51:00,1,165.0,86.48,9.07,7.47,0.95,1.0,1.0,01AUG14:07:51:00,1,0,0,0,1
3762386,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,8,943,1,210,08/01/2014,7:51:30,1,108.0,78.44,8.5,6.7,0.89,1.0,1.0,01AUG14:07:51:30,1,0,0,0,1
3762387,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,9,944,1,240,08/01/2014,7:52:00,1,104.0,115.84,11.0,10.3,0.89,1.0,1.0,01AUG14:07:52:00,1,0,0,0,1
3762388,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,10,945,1,270,08/01/2014,7:52:30,1,79.0,122.95,11.5,11.0,0.86,1.0,1.0,01AUG14:07:52:30,1,0,0,0,1
3762389,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,11,946,1,300,08/01/2014,7:53:00,1,144.0,43.59,4.34,3.81,0.53,1.0,1.0,01AUG14:07:53:00,1,0,0,0,1
3762390,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,12,947,1,330,08/01/2014,7:53:30,1,190.0,1.21,0.11,0.11,0.05,1.0,1.0,01AUG14:07:53:30,1,0,0,0,1
3762391,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,13,948,1,360,08/01/2014,7:54:00,1,313.0,17.97,2.08,1.5,0.19,1.0,1.0,01AUG14:07:54:00,1,0,0,0,1
3762392,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,14,949,1,390,08/01/2014,7:54:30,1,210.0,315.41,21.6,29.2,10.8,1.0,1.0,01AUG14:07:54:30,1,0,0,0,1
3762393,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,15,950,1,420,08/01/2014,7:55:00,1,216.0,641.52,43.2,59.7,21.1,1.0,1.0,01AUG14:07:55:00,1,0,0,0,1
3762394,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,16,951,1,450,08/01/2014,7:55:30,1,177.0,910.31,54.8,86.3,30.5,1.0,1.0,01AUG14:07:55:30,1,0,0,0,1
3762395,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,17,952,1,480,08/01/2014,7:56:00,1,323.0,538.53,33.3,50.2,23.0,1.0,1.0,01AUG14:07:56:00,1,0,0,0,1
3762396,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,18,953,1,510,08/01/2014,7:56:30,1,0.0,1331.02,57.2,130.0,58.4,1.0,0.0,01AUG14:07:56:30,1,0,0,0,1
3762397,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,19,954,1,540,08/01/2014,7:57:00,1,0.0,1333.79,58.4,130.0,58.4,1.0,0.0,01AUG14:07:57:00,1,0,0,0,1
3762398,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,20,955,1,570,08/01/2014,7:57:30,1,0.0,1339.51,61.0,130.0,58.4,0.0,0.0,01AUG14:07:57:30,1,0,0,0,1
3762399,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,21,956,1,600,08/01/2014,7:58:00,1,3.0,1342.32,61.0,130.0,61.0,1.0,1.0,01AUG14:07:58:00,1,0,0,0,1
3762400,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,22,957,1,630,08/01/2014,7:58:30,1,58.0,1348.3,63.7,130.0,61.0,1.0,1.0,01AUG14:07:58:30,1,0,0,0,1
3762401,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,23,958,1,660,08/01/2014,7:59:00,1,53.0,1262.0,58.4,122.0,58.4,1.0,1.0,01AUG14:07:59:00,1,0,0,0,1
3762402,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,24,959,1,690,08/01/2014,7:59:30,1,24.0,1266.97,51.3,125.0,56.0,1.0,1.0,01AUG14:07:59:30,1,0,0,0,1
3762403,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,25,960,1,720,08/01/2014,8:00:00,1,50.0,1528.78,71.0,148.0,66.6,1.0,1.0,01AUG14:08:00:00,1,0,0,0,1
3762404,434_8_1_2014_7_48_00_AM_20171208_lmm5346.csv,434,26,961,1,750,08/01/2014,8:00:30,1,3.0,1528.78,71.0,148.0,66.6,0.0,1.0,01AUG14:08:00:30,1,0,0,0,1
